,index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,1,Abbotsford,25 Bloomburg St,2,h,144,S,Biggin,4/2/2016,2.5,3067,2,1,0.0,156,79.0,1900.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019
1,2,Abbotsford,5 Charles St,3,h,226,SP,Biggin,4/3/2017,2.5,3067,3,2,0.0,134,150.0,1900.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019
2,4,Abbotsford,55a Park St,4,h,252,VB,Nelson,4/6/2016,2.5,3067,3,1,2.0,120,142.0,2014.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019
3,6,Abbotsford,124 Yarra St,3,h,304,S,Nelson,7/5/2016,2.5,3067,4,2,0.0,245,210.0,1910.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019
4,7,Abbotsford,98 Charles St,2,h,259,S,Nelson,8/10/2016,2.5,3067,2,1,2.0,256,107.0,1890.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019
5,9,Abbotsford,10 Valiant St,2,h,156,S,Biggin,8/10/2016,2.5,3067,3,1,2.0,220,75.0,1900.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019
6,11,Abbotsford,40 Nicholson St,3,h,204,VB,Nelson,12/11/2016,2.5,3067,3,2,2.0,214,190.0,2005.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019
7,12,Abbotsford,123/56 Nicholson St,2,u,90,S,Biggin,12/11/2016,2.5,3067,2,2,1.0,0,94.0,2009.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
8,15,Abbotsford,16 William St,2,h,196,S,Jellis,15/10/2016,2.5,3067,2,1,2.0,238,97.0,1890.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019
9,16,Abbotsford,42 Henry St,3,h,175,S,Jellis,16/07/2016,2.5,3067,3,2,1.0,113,110.0,1880.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019
10,17,Abbotsford,78 Yarra St,3,h,171,S,LITTLE,16/07/2016,2.5,3067,2,1,1.0,138,105.0,1890.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019
